,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-07-11 15:59:01.874009,0.095,0.2362299919128418,-8.40495,-0.084578246,-0.0023370527,-8.32171,-8.445842,-8.447298,59.209736,48.086388,59.33889
2010-07-13 02:57:20.625004,0.138,0.28378000259399416,-8.118421,-0.08447807,-0.002347058,-8.138496,-8.164264,-8.0525,46.053684,35.422283,45.963474
2010-07-14 14:56:58.124020,0.14,0.2633399963378906,-8.327217,-0.08440859,-0.002350252,-8.312294,-8.294772,-8.374584,52.43237,41.305435,52.45237
2010-07-15 02:15:56.249986,0.136,0.2540299987792969,-8.185154,-0.08435344,-0.0023510358,-8.292421,-8.216123,-8.046917,40.086006,30.258791,40.067318
2010-07-16 01:55:20.625025,0.127,0.24570999145507813,-8.32635,-0.084295124,-0.0023471126,-8.333667,-8.333124,-8.31226,63.336155,52.17667,63.250835
2010-07-16 15:55:31.874987,0.125,0.24476999282836914,-8.314645,-0.084295124,-0.0023471126,-8.440107,-8.133544,-8.370285,55.899006,44.813015,56.019207
2010-07-18 02:53:50.624976,0.117,0.24038000106811525,-8.08944,-0.08428869,-0.0023314885,-8.133195,-8.125202,-8.009925,40.763554,30.828125,40.680725
2010-07-19 14:53:26.250013,0.153,0.2598699951171875,-7.6365943,-0.08426498,-0.0023225169,-7.8211803,-7.3446574,-7.743945,56.306095,44.99814,56.329697
2010-07-20 02:12:28.124983,0.154,0.24565000534057618,-8.024799,-0.08419782,-0.002317263,-8.0410595,-8.043654,-7.9896855,45.223763,34.754845,45.18629
2010-07-21 15:52:03.750025,0.163,0.25576000213623046,-8.283265,-0.0841642,-0.0023101966,-8.2519245,-8.172401,-8.425469,52.175682,41.21316,52.283928
2010-07-22 03:11:05.624995,0.157,0.24347000122070311,-8.245643,-0.08418665,-0.002298221,-8.340879,-8.058412,-8.337634,61.72145,50.3048,61.64643
2010-07-24 14:49:56.249020,0.135,0.227189998626709,-8.274642,-0.084278926,-0.0022754676,-8.294107,-8.331655,-8.198163,59.802002,48.431133,59.828575
2010-07-25 02:08:58.123990,0.124,0.2305299949645996,-8.21712,-0.08428743,-0.0022709745,-8.084948,-8.225426,-8.340985,49.808014,38.92662,49.770985
2010-07-26 15:48:33.749997,0.142,0.25945999145507814,-8.263161,-0.08429072,-0.0022672457,-8.161636,-8.248591,-8.379253,47.959072,37.26837,48.05086
2010-07-27 03:07:35.625008,0.15,0.3110300064086914,-8.144268,-0.08427224,-0.002263517,-8.205658,-8.155407,-8.07174,58.479984,47.062706,58.39533
2010-07-28 15:07:11.250004,0.169,0.28184999465942384,-8.01581,-0.084255375,-0.0022597045,-7.9380636,-8.005074,-8.104293,37.381588,28.025572,37.379597
